அறம் ஒரு கருவி   	அரம் ஒரு கருவி   
கூறல் என்பதன் பொருள் ஒரு மீன்	கூரல் என்பதன் பொருள் ஒரு மீன்
கூறல் என்பதன் பொருள் பறவை இறகு	கூரல் என்பதன் பொருள் பறவை இறகு
கூரல் என்பதன் பொருள் சொல்லுதல்	கூறல் என்பதன் பொருள் சொல்லுதல்
கூரல் என்பதன் பொருள் விற்றல்	கூறல் என்பதன் பொருள் விற்றல்
கூறை என்பதன் பொருள் சிறிய ஓலை வீடு	கூரை என்பதன் பொருள் சிறிய ஓலை வீடு
கூறை என்பதன் பொருள் வீட்டின் மேற்கூரை	கூரை என்பதன் பொருள் வீட்டின் மேற்கூரை
கூறை என்பதன் பொருள் சிற்றில்	கூரை என்பதன் பொருள் சிற்றில்
கூரை என்பதன் பொருள் புது ஆடை	கூறை என்பதன் பொருள் புது ஆடை
கூரை என்பதன் பொருள் சீலை	கூறை என்பதன் பொருள் சீலை
கூறிய என்பதன் பொருள் கூர்மையான	கூரிய என்பதன் பொருள் கூர்மையான
கூரிய என்பதன் பொருள் சொன்ன	கூறிய என்பதன் பொருள் சொன்ன
கூற என்பதன் பொருள் குளிர்ச்சி மிக	கூர என்பதன் பொருள் குளிர்ச்சி மிக
கூர என்பதன் பொருள் சொல்ல	கூற என்பதன் பொருள் சொல்ல
கூர என்பதன் பொருள் வேண்டல்	கூற என்பதன் பொருள் வேண்டல்
கோறல் என்பதன் பொருள் கூறுதல்	கோரல் என்பதன் பொருள் கூறுதல்
கோரல் என்பதன் பொருள் கொல்லல்	கோறல் என்பதன் பொருள் கொல்லல்
கோறை என்பதன் பொருள் புல்வகை	கோரை என்பதன் பொருள் புல்வகை
கோரை என்பதன் பொருள் குவளை	கோறை என்பதன் பொருள் குவளை
கோரை என்பதன் பொருள் பொந்து	கோறை என்பதன் பொருள் பொந்து
கோறல் என்பதன் பொருள் சேர்தல்	கோரல் என்பதன் பொருள் சேர்தல்
கோறல் என்பதன் பொருள் குளிர் காற்று	கோரல் என்பதன் பொருள் குளிர் காற்று
கோறல் என்பதன் பொருள் மலைப்பக்கம்	கோரல் என்பதன் பொருள் மலைப்பக்கம்
கோரல் என்பதன் பொருள் குளிர் காற்று	கோறல் என்பதன் பொருள் குளிர் காற்று
கோரல் என்பதன் பொருள் மழை	கோறல் என்பதன் பொருள் மழை
சிறை என்பதன் பொருள் சிரைத்தல்	சிரை என்பதன் பொருள் சிரைத்தல்
சிறை என்பதன் பொருள் முடிநீக்கல்	சிரை என்பதன் பொருள் முடிநீக்கல்
சிரை என்பதன் பொருள் சிறைச்சாலை	சிறை என்பதன் பொருள் சிறைச்சாலை
சிரை என்பதன் பொருள் மதில்	சிறை என்பதன் பொருள் மதில்
சிரை என்பதன் பொருள் காவல்	சிறை என்பதன் பொருள் காவல்
சிரை என்பதன் பொருள் பக்கம்	சிறை என்பதன் பொருள் பக்கம்
சிரை என்பதன் பொருள் நீர்க்கரை	சிறை என்பதன் பொருள் நீர்க்கரை
சிரை என்பதன் பொருள் இறகு	சிறை என்பதன் பொருள் இறகு
சிரை என்பதன் பொருள் அடிமை	சிறை என்பதன் பொருள் அடிமை
சிரை என்பதன் பொருள் அறை	சிறை என்பதன் பொருள் அறை
சிரை என்பதன் பொருள் அணை	சிறை என்பதன் பொருள் அணை
சீறிய என்பதன் பொருள் சினந்த	சீரிய என்பதன் பொருள் சினந்த
சீறிய என்பதன் பொருள்​​ சிறந்த,​	சீரிய என்பதன் பொருள்​​ சிறந்த,​
சீறிய என்பதன் பொருள் சீராய்​	சீரிய என்பதன் பொருள் சீராய்​
சீரிய என்பதன் பொருள் சினந்த	சீறிய என்பதன் பொருள் சினந்த
சுறா​​ என்பதன் பொருள் கள்​	சுரா​ என்பதன் பொருள் கள்​
சுரா​ என்பதன் பொருள் சுறா மீன்	சுறா​ என்பதன் பொருள் சுறா மீன்
சூறல்​ என்பதன் பொருள் மூங்​கில்,​​ பிரம்பு​	சூரல்​ என்பதன் பொருள் மூங்​கில்,​​ பிரம்பு​
சூரல்​ என்பதன் பொருள்​ தோண்​டல்	சூறல்​ என்பதன் பொருள்​ தோண்​டல்
சுறுக்கு​ என்பதன் பொருள்​ வலை	சுருக்கு​ என்பதன் பொருள்​ வலை
சுறுக்கு​ என்பதன் பொருள்​​ சுருக்​கம்	சுருக்கு​ என்பதன் பொருள்​​ சுருக்​கம்
சுறுக்கு​ என்பதன் பொருள்​​ கட்டு	சுருக்கு​ என்பதன் பொருள்​​ கட்டு
சுறுக்கு​ என்பதன் பொருள்​​ பூமாலை	சுருக்கு​ என்பதன் பொருள்​​ பூமாலை
சுறுக்கு​ என்பதன் பொருள் வகை	சுருக்கு​ என்பதன் பொருள் வகை
சுறுக்கு​ என்பதன் பொருள்​​ குறைவு	சுருக்கு​ என்பதன் பொருள்​​ குறைவு
சுறுக்கு​ என்பதன் பொருள் நெய்த்​து​டுப்பு​	சுருக்கு​ என்பதன் பொருள் நெய்த்​து​டுப்பு​
சுருக்கு​ என்பதன் பொருள் விரைவு	சுறுக்கு​ என்பதன் பொருள் விரைவு
செறு​ என்பதன் பொருள் போர்	செரு​ என்பதன் பொருள் போர்
செறு​​ என்பதன் பொருள் ஊடல்	செரு​ என்பதன் பொருள் ஊடல்
செரு​​ என்பதன் பொருள்​ வயல்	செறு​ என்பதன் பொருள்​ வயல்
செரு​​ என்பதன் பொருள்​​ பாத்தி	செறு​ என்பதன் பொருள்​​ பாத்தி
செரு​​ என்பதன் பொருள்​​ குளம்	செறு​ என்பதன் பொருள்​​ குளம்
செறு​நர்​​ என்பதன் பொருள் பகை​வர்	செரு​நர்​ என்பதன் பொருள் பகை​வர்
செறு​நர்​​ என்பதன் பொருள்​​ படை​வீ​ரர்​	செரு​நர்​ என்பதன் பொருள்​​ படை​வீ​ரர்​
செரு​நர்​ என்பதன் பொருள்​ பகை​வர்	செறு​நர்​ என்பதன் பொருள்​ பகை​வர்
சொறி​ என்பதன் பொருள்​ தினவு	சொரி​ என்பதன் பொருள்​ தினவு
சொறி​ என்பதன் பொருள் அரிப்பு	சொரி​ என்பதன் பொருள் அரிப்பு
சொறி என்பதன் பொருள் பொழி	சொரி​ என்பதன் பொருள் பொழி
சொரி என்பதன் பொருள்​ சிரங்கு	சொறி என்பதன் பொருள்​ சிரங்கு
சொரி என்பதன் பொருள் சொறி​தல்	சொறி என்பதன் பொருள் சொறி​தல்
தறித்​தல்​ என்பதன் பொருள் அணி​தல்	தரித்​தல்​ என்பதன் பொருள் அணி​தல்
தறித்​தல்​ என்பதன் பொருள்​​ பொறுத்​தல்	தரித்​தல்​ என்பதன் பொருள்​​ பொறுத்​தல்
தறித்​தல்​ என்பதன் பொருள் தங்​கல்	தரித்​தல்​ என்பதன் பொருள் தங்​கல்
தறித்​தல்​ என்பதன் பொருள் தாம​தித்​தல்	தரித்​தல்​ என்பதன் பொருள் தாம​தித்​தல்
தறித்​தல் என்பதன் பொருள் தாங்​கு​தல்​	தரித்​தல்​ என்பதன் பொருள் தாங்​கு​தல்​
தரித்​தல் என்பதன் பொருள் வெட்​டு​தல்	தறித்​தல் என்பதன் பொருள் வெட்​டு​தல்
தறி​ என்பதன் பொருள் அணி	தரி​ என்பதன் பொருள் அணி
தறி​ என்பதன் பொருள் அணிந்​து ​கொள்​	தரி​ என்பதன் பொருள் அணிந்​து ​கொள்​
தரி என்பதன் பொருள் தூண்	தறி என்பதன் பொருள் தூண்
தரி என்பதன் பொருள் ஆப்பு	தறி என்பதன் பொருள் ஆப்பு
தரி என்பதன் பொருள் நெசவு இயந்​தி​ரம்	தறி என்பதன் பொருள் நெசவு இயந்​தி​ரம்
தரி என்பதன் பொருள் முளைக்​கோல்	தறி என்பதன் பொருள் முளைக்​கோல்
தறு​தல் என்பதன் பொருள்​ கொடுத்​தல்​	தரு​தல் என்பதன் பொருள்​ கொடுத்​தல்​
தரு​தல்​ என்பதன் பொருள் இறு​கக்​ கட்​டு​தல்	தறு​தல்​ என்பதன் பொருள் இறு​கக்​ கட்​டு​தல்
தாறு​​ என்பதன் பொருள் மரம்	தாரு​ என்பதன் பொருள் மரம்
தாறு​​ என்பதன் பொருள் தேவ​தாரு	தாரு​ என்பதன் பொருள் தேவ​தாரு
தாறு​​ என்பதன் பொருள் பித்​தளை	தாரு​ என்பதன் பொருள் பித்​தளை
தாரு​ என்பதன் பொருள்​ குலை	தாறு​ என்பதன் பொருள்​ குலை
தாரு​ என்பதன் பொருள்​​ அங்​கு​சம்	தாறு​ என்பதன் பொருள்​​ அங்​கு​சம்
தாரு​ என்பதன் பொருள்​​ முள்	தாறு​ என்பதன் பொருள்​​ முள்
தாரு​ என்பதன் பொருள் இரும்பு	தாறு​ என்பதன் பொருள் இரும்பு
தாரு​ என்பதன் பொருள் முள்​கோல்	தாறு​ என்பதன் பொருள் முள்​கோல்
திறம்​ என்பதன் பொருள் மலை	திரம்​ என்பதன் பொருள் மலை
திறம்​ என்பதன் பொருள்​​ உறுதி	திரம்​ என்பதன் பொருள்​​ உறுதி
திறம்​ என்பதன் பொருள்​​ நிலை	திரம்​ என்பதன் பொருள்​​ நிலை
திறம்​ என்பதன் பொருள் பூமி​	திரம்​ என்பதன் பொருள் பூமி​
திரம்​ என்பதன் பொருள் உறுதி	திறம்​ என்பதன் பொருள் உறுதி
திரம்​ என்பதன் பொருள் நரம்​புள்ள வீணை	திறம்​ என்பதன் பொருள் நரம்​புள்ள வீணை
திரம்​ என்பதன் பொருள் கூறு​பாடு	திறம்​ என்பதன் பொருள் கூறு​பாடு
திரம்​ என்பதன் பொருள்​​ சுற்​றம்	திறம்​ என்பதன் பொருள்​​ சுற்​றம்
திரம்​ என்பதன் பொருள்​​ குலம்	திறம்​ என்பதன் பொருள்​​ குலம்
திரம்​ என்பதன் பொருள்​​ பக்​கம்	திறம்​ என்பதன் பொருள்​​ பக்​கம்
திரம் என்பதன் பொருள் வல்​லமை	திறம்​ என்பதன் பொருள் வல்​லமை
திரம்​ என்பதன் பொருள் ஒழுக்​கம்	திறம்​ என்பதன் பொருள் ஒழுக்​கம்
திரம்​ என்பதன் பொருள்​​ மேன்மை	திறம்​ என்பதன் பொருள்​​ மேன்மை
திரம்​ என்பதன் பொருள் வர​லாறு	திறம்​ என்பதன் பொருள் வர​லாறு
திரம்​ என்பதன் பொருள்​​ கார​ணம்	திறம்​ என்பதன் பொருள்​​ கார​ணம்
திறை​ என்பதன் பொருள் அலை	திரை​ என்பதன் பொருள் அலை
திறை​ என்பதன் பொருள்​​ கடல்	திரை​ என்பதன் பொருள்​​ கடல்
திறை​ என்பதன் பொருள்​​ திரைச் ​சீலை	திரை​ என்பதன் பொருள்​​ திரைச் ​சீலை
திரை​ என்பதன் பொருள்​ கப்​பம்	திறை​ என்பதன் பொருள்​ கப்​பம்
துறவு​​ என்பதன் பொருள்​ கிணறு​	துரவு​ என்பதன் பொருள்​ கிணறு​
துரவு​ என்பதன் பொருள் துறத்​தல்	துறவு​ என்பதன் பொருள் துறத்​தல்
துரவு​ என்பதன் பொருள்​​ துற​வ​றம்	துறவு​ என்பதன் பொருள்​​ துற​வ​றம்
துறை​ என்பதன் பொருள் பெரி​யோன்	துரை​ என்பதன் பொருள் பெரி​யோன்
துறை​ என்பதன் பொருள்​​ தலை​வன்	துரை​ என்பதன் பொருள்​​ தலை​வன்
துரை​ என்பதன் பொருள் நீர்த்​துறை	துறை​ என்பதன் பொருள் நீர்த்​துறை
துரை​ என்பதன் பொருள் வழி	துறை​ என்பதன் பொருள் வழி
துரை என்பதன் பொருள் இடம்	துறை​ என்பதன் பொருள் இடம்
துரை என்பதன் பொருள்​​ நூல்	துறை​ என்பதன் பொருள்​​ நூல்
துரை​ என்பதன் பொருள்​​ கடற்​கரை	துறை​ என்பதன் பொருள்​​ கடற்​கரை
துரை​ என்பதன் பொருள் உபா​யம்	துறை​ என்பதன் பொருள் உபா​யம்
துரை​ என்பதன் பொருள் பாவி​னம்	துறை​ என்பதன் பொருள் பாவி​னம்
துறு​ என்பதன் பொருள்​ களிம்பு	துரு​ என்பதன் பொருள்​ களிம்பு
துரு​ என்பதன் பொருள் கூட்​டம்	துறு​ என்பதன் பொருள் கூட்​டம்
துரு என்பதன் பொருள் நெருக்​கம்	துறு​ என்பதன் பொருள் நெருக்​கம்
தூறல்​ என்பதன் பொருள்​ தூரு​தல்	தூரல்​ என்பதன் பொருள்​ தூரு​தல்
தூறல் என்பதன் பொருள்​​​ வருத்​தம்	தூரல்​ என்பதன் பொருள்​​​ வருத்​தம்
தூரல்​ என்பதன் பொருள் மழைத்​துளி	தூறல்​ என்பதன் பொருள் மழைத்​துளி
தூரல்​ என்பதன் பொருள் பழி சொல்​லு​தல்	தூறல்​ என்பதன் பொருள் பழி சொல்​லு​தல்
தூறன் என்பதன் பொருள் குலத்​தின் பெயர்	தூரன்​ என்பதன் பொருள் குலத்​தின் பெயர்
தூரன்​​ என்பதன் பொருள்​ மூர்க்​கன்	தூறன்​ என்பதன் பொருள்​ மூர்க்​கன்
துறு​ என்பதன் பொருள் வீதி	துரு​ என்பதன் பொருள் வீதி
துரு​ என்பதன் பொருள்​ உண்	துறு​ என்பதன் பொருள்​ உண்
தேறார்​ என்பதன் பொருள்​ கல்​லா​த​வர்	தேரார்​ என்பதன் பொருள்​ கல்​லா​த​வர்
தேறார்​ என்பதன் பொருள்​​ கீழ்​மக்​கள்	தேரார்​ என்பதன் பொருள்​​ கீழ்​மக்​கள்
தேறார்​ என்பதன் பொருள் பகை​வர்​	தேரார்​ என்பதன் பொருள் பகை​வர்​
தேரார்​ என்பதன் பொருள் அறி​வி​லார்	தேறார்​ என்பதன் பொருள் அறி​வி​லார்
தேரார்​ என்பதன் பொருள் பகை​வர்	தேறார்​ என்பதன் பொருள் பகை​வர்
தேறி என்பதன் பொருள் மணல் திட்டை	தேரி என்பதன் பொருள் மணல் திட்டை
தேறி என்பதன் பொருள் மணல் குன்று	தேரி என்பதன் பொருள் மணல் குன்று
தேரி என்பதன் பொருள் தேர்ச்சி பெற்று	தேறி என்பதன் பொருள் தேர்ச்சி பெற்று
தேரி என்பதன் பொருள் தெளிந்து	தேறி என்பதன் பொருள் தெளிந்து
நறை என்பதன் பொருள் நரைமுடி	நரை என்பதன் பொருள் நரைமுடி
நறை என்பதன் பொருள் வெண் மயிர்	நரை என்பதன் பொருள் வெண் மயிர்
நறை என்பதன் பொருள் மூப்பு	நரை என்பதன் பொருள் மூப்பு
நறை என்பதன் பொருள் எருது	நரை என்பதன் பொருள் எருது
நறை என்பதன் பொருள் கவரிமா	நரை என்பதன் பொருள் கவரிமா
நறை என்பதன் பொருள் மரச்சொத்தை	நரை என்பதன் பொருள் மரச்சொத்தை
நறை என்பதன் பொருள் பெருமை	நரை என்பதன் பொருள் பெருமை
நரை என்பதன் பொருள் தேன்	நறை என்பதன் பொருள் தேன்
நரை என்பதன் பொருள் சாதிக்காய்	நறை என்பதன் பொருள் சாதிக்காய்
நரை என்பதன் பொருள் கள்	நறை என்பதன் பொருள் கள்
நரை என்பதன் பொருள் வாசனை	நறை என்பதன் பொருள் வாசனை
நரை என்பதன் பொருள் நறும்புகை	நறை என்பதன் பொருள் நறும்புகை
நரை என்பதன் பொருள் பச்சிலைக் கொடி	நறை என்பதன் பொருள் பச்சிலைக் கொடி
நரை என்பதன் பொருள் குற்றம்	நறை என்பதன் பொருள் குற்றம்
நாறி என்பதன் பொருள் பெண்	நாரி என்பதன் பொருள் பெண்
நாறி என்பதன் பொருள் பார்வதி	நாரி என்பதன் பொருள் பார்வதி
நாறி என்பதன் பொருள் வாசனை	நாரி என்பதன் பொருள் வாசனை
நாறி என்பதன் பொருள் கள்	நாரி என்பதன் பொருள் கள்
நாறி என்பதன் பொருள் சேனை	நாரி என்பதன் பொருள் சேனை
நாறி என்பதன் பொருள் பன்னாடை	நாரி என்பதன் பொருள் பன்னாடை
நாறி என்பதன் பொருள் தேன்	நாரி என்பதன் பொருள் தேன்
நாரி என்பதன் பொருள் கற்றாழை	நாறி என்பதன் பொருள் கற்றாழை
நிறுத்தம் என்பதன் பொருள் கூத்து	நிருத்தம் என்பதன் பொருள் கூத்து
நிறுத்தம் என்பதன் பொருள் நடனம்	நிருத்தம் என்பதன் பொருள் நடனம்
நிறுத்தம் என்பதன் பொருள் பதம் பிரித்துப் பொருள் கூறும் நூல்	நிருத்தம் என்பதன் பொருள் பதம் பிரித்துப் பொருள் கூறும் நூல்
நிறுத்தம் என்பதன் பொருள் பற்றின்மை	நிருத்தம் என்பதன் பொருள் பற்றின்மை
நிருத்தம் என்பதன் பொருள் நிறுத்தும் இடம்	நிறுத்தம் என்பதன் பொருள் நிறுத்தும் இடம்
நிறை என்பதன் பொருள் பசு	நிரை என்பதன் பொருள் பசு
நிறை என்பதன் பொருள் ஒழுங்கு	நிரை என்பதன் பொருள் ஒழுங்கு
நிறை என்பதன் பொருள் வரிசை	நிரை என்பதன் பொருள் வரிசை
நிரை என்பதன் பொருள் கற்பு	நிறை என்பதன் பொருள் கற்பு
நிரை என்பதன் பொருள் அளவு	நிறை என்பதன் பொருள் அளவு
நிரை என்பதன் பொருள் அழிவின்மை	நிறை என்பதன் பொருள் அழிவின்மை
நிரை என்பதன் பொருள் நீதி	நிறை என்பதன் பொருள் நீதி
நிரை என்பதன் பொருள் வரையறை	நிறை என்பதன் பொருள் வரையறை
நிரை என்பதன் பொருள் திண்மை	நிறை என்பதன் பொருள் திண்மை
நிரை என்பதன் பொருள் நிரப்பு	நிறை என்பதன் பொருள் நிரப்பு
நூறல் என்பதன் பொருள் அவிதல்	நூரல் என்பதன் பொருள் அவிதல்
நூறல் என்பதன் பொருள் பதங்கெடுதல்	நூரல் என்பதன் பொருள் பதங்கெடுதல்
நூரல் என்பதன் பொருள் அவித்தல்	நூறல் என்பதன் பொருள் அவித்தல்
நேறி என்பதன் பொருள் அமுக்கு	நேரி என்பதன் பொருள் அமுக்கு
நேறி என்பதன் பொருள் நசுக்கு	நேரி என்பதன் பொருள் நசுக்கு
நேறி என்பதன் பொருள் அழுத்து	நேரி என்பதன் பொருள் அழுத்து
நேரி என்பதன் பொருள் வழி	நேறி என்பதன் பொருள் வழி
நேரி என்பதன் பொருள் கோயில்	நேறி என்பதன் பொருள் கோயில்
நேரி என்பதன் பொருள் கற்பு	நேறி என்பதன் பொருள் கற்பு
பறட்டை என்பதன் பொருள் பரட்டைத்தலை	பரட்டை என்பதன் பொருள் பரட்டைத்தலை
பரட்டை என்பதன் பொருள் செழிப்பற்றது	பறட்டை என்பதன் பொருள் செழிப்பற்றது
பறதி என்பதன் பொருள் கூத்தாடுபவன்	பரதி என்பதன் பொருள் கூத்தாடுபவன்
பரதி என்பதன் பொருள் அவசரம்	பறதி என்பதன் பொருள் அவசரம்
பரதி என்பதன் பொருள் பறத்தல்	பறதி என்பதன் பொருள் பறத்தல்
பறத்தல் என்பதன் பொருள் அலமறுதல்	பரத்தல் என்பதன் பொருள் அலமறுதல்
பறத்தல் என்பதன் பொருள் மிகுதல்	பரத்தல் என்பதன் பொருள் மிகுதல்
பரத்தல் என்பதன் பொருள் பறந்து செல்லல்	பறத்தல் என்பதன் பொருள் பறந்து செல்லல்
பறம்பு என்பதன் பொருள் வயலை சமப்படுத்தும் பலகை	பரம்பு என்பதன் பொருள் வயலை சமப்படுத்தும் பலகை
பரம்பு என்பதன் பொருள் பாரியின் மலை	பறம்பு என்பதன் பொருள் பாரியின் மலை
பறல் என்பதன் பொருள் விதை	பரல் என்பதன் பொருள் விதை
பறல் என்பதன் பொருள் பருக்கைக்கல்	பரல் என்பதன் பொருள் பருக்கைக்கல்
பரல் என்பதன் பொருள் பறவை	பறல் என்பதன் பொருள் பறவை
பறவை என்பதன் பொருள் கடல்	பரவை என்பதன் பொருள் கடல்
பறவை என்பதன் பொருள் ஆடல்	பரவை என்பதன் பொருள் ஆடல்
பறவை என்பதன் பொருள் பரப்பு	பரவை என்பதன் பொருள் பரப்பு
பரவை என்பதன் பொருள் பறப்பவை	பறவை என்பதன் பொருள் பறப்பவை
பரவை என்பதன் பொருள் ஒரு நோய்	பறவை என்பதன் பொருள் ஒரு நோய்
பறி என்பதன் பொருள் குதிரை	பரி என்பதன் பொருள் குதிரை
பறி என்பதன் பொருள் பெருமை	பரி என்பதன் பொருள் பெருமை
பறி என்பதன் பொருள் விரைவு	பரி என்பதன் பொருள் விரைவு
பறி என்பதன் பொருள் செலவு	பரி என்பதன் பொருள் செலவு
பறி என்பதன் பொருள் சுமை	பரி என்பதன் பொருள் சுமை
பறி என்பதன் பொருள் மிகுதி	பரி என்பதன் பொருள் மிகுதி
பரி என்பதன் பொருள் பறித்தல்	பறி என்பதன் பொருள் பறித்தல்
பரி என்பதன் பொருள் கொள்ளை	பறி என்பதன் பொருள் கொள்ளை
பரி என்பதன் பொருள் பொன்	பறி என்பதன் பொருள் பொன்
பரி என்பதன் பொருள் வலை	பறி என்பதன் பொருள் வலை
பரி என்பதன் பொருள் உடம்பு	பறி என்பதன் பொருள் உடம்பு
பரி என்பதன் பொருள் ஓலைப்பாய்	பறி என்பதன் பொருள் ஓலைப்பாய்
பறித்தல் என்பதன் பொருள் காத்தல்	பரித்தல் என்பதன் பொருள் காத்தல்
பறித்தல் என்பதன் பொருள் ஓடுதல்	பரித்தல் என்பதன் பொருள் ஓடுதல்
பறித்தல் என்பதன் பொருள் தாங்குதல்	பரித்தல் என்பதன் பொருள் தாங்குதல்
பறித்தல் என்பதன் பொருள் சுமத்தல்	பரித்தல் என்பதன் பொருள் சுமத்தல்
பறித்தல் என்பதன் பொருள் சூழ்தல்	பரித்தல் என்பதன் பொருள் சூழ்தல்
பறித்தல் என்பதன் பொருள் தரித்தல்	பரித்தல் என்பதன் பொருள் தரித்தல்
பரித்தல் என்பதன் பொருள் பிடுங்குதல்	பறித்தல் என்பதன் பொருள் பிடுங்குதல்
பறிவு என்பதன் பொருள் அன்பு	பரிவு என்பதன் பொருள் அன்பு
பறிவு என்பதன் பொருள் துன்பம்	பரிவு என்பதன் பொருள் துன்பம்
பறிவு என்பதன் பொருள் இரக்கம்	பரிவு என்பதன் பொருள் இரக்கம்
பரிவு என்பதன் பொருள் கழிவு	பறிவு என்பதன் பொருள் கழிவு
பரிவு என்பதன் பொருள் அதிர்தல்	பறிவு என்பதன் பொருள் அதிர்தல்
பறுகு என்பதன் பொருள் குடி	பருகு என்பதன் பொருள் குடி
பறுகு என்பதன் பொருள் அருந்து	பருகு என்பதன் பொருள் அருந்து
பருகு என்பதன் பொருள் பறட்டை	பறுகு என்பதன் பொருள் பறட்டை
பருகு என்பதன் பொருள் அன்பு	பறுகு என்பதன் பொருள் அன்பு
பருகு என்பதன் பொருள் பக்குவம்	பறுகு என்பதன் பொருள் பக்குவம்
பறை என்பதன் பொருள் சிவசக்தி	பரை என்பதன் பொருள் சிவசக்தி
பரை என்பதன் பொருள் இசைக்கருவி	பறை என்பதன் பொருள் இசைக்கருவி
பரை என்பதன் பொருள் இறகு	பறை என்பதன் பொருள் இறகு
பரை என்பதன் பொருள் வாத்தியம்	பறை என்பதன் பொருள் வாத்தியம்
பரை என்பதன் பொருள் பறவை	பறை என்பதன் பொருள் பறவை
பரை என்பதன் பொருள் சொல்	பறை என்பதன் பொருள் சொல்
பாறை என்பதன் பொருள் கடப்பாரை	பாரை என்பதன் பொருள் கடப்பாரை
பாரை என்பதன் பொருள் கற்பாறை	பாறை என்பதன் பொருள் கற்பாறை
பிறை என்பதன் பொருள் உறைமோர்	பிரை என்பதன் பொருள் உறைமோர்
பிறை என்பதன் பொருள் பயன்	பிரை என்பதன் பொருள் பயன்
பிரை என்பதன் பொருள் பிறைச்சந்திரன்	பிறை என்பதன் பொருள் பிறைச்சந்திரன்
பீறு என்பதன் பொருள் புருவம்	பீரு என்பதன் பொருள் புருவம்
பீறு என்பதன் பொருள் அச்சமுள்ளோன்	பீரு என்பதன் பொருள் அச்சமுள்ளோன்
பீரு என்பதன் பொருள் கிழிவு	பீறு என்பதன் பொருள் கிழிவு
புறம் என்பதன் பொருள் மாடம்	புரம் என்பதன் பொருள் மாடம்
புறம் என்பதன் பொருள் கோயில்	புரம் என்பதன் பொருள் கோயில்
புறம் என்பதன் பொருள் இராஜதானி	புரம் என்பதன் பொருள் இராஜதானி
புறம் என்பதன் பொருள் ஊர்	புரம் என்பதன் பொருள் ஊர்
புறம் என்பதன் பொருள் முன்	புரம் என்பதன் பொருள் முன்
புறம் என்பதன் பொருள் மேல்மாடம்	புரம் என்பதன் பொருள் மேல்மாடம்
புறம் என்பதன் பொருள் ஒரு நகரம்	புரம் என்பதன் பொருள் ஒரு நகரம்
புரம் என்பதன் பொருள் இடம்	புறம் என்பதன் பொருள் இடம்
புரம் என்பதன் பொருள் வரியில்லா நிலம்	புறம் என்பதன் பொருள் வரியில்லா நிலம்
புரம் என்பதன் பொருள் பக்கம்	புறம் என்பதன் பொருள் பக்கம்
புரம் என்பதன் பொருள் வெளி	புறம் என்பதன் பொருள் வெளி
புரம் என்பதன் பொருள் பின்புறம்	புறம் என்பதன் பொருள் பின்புறம்
புரம் என்பதன் பொருள் முதுகு	புறம் என்பதன் பொருள் முதுகு
பெறுக்கல் என்பதன் பொருள் நிறைத்தல்	பெருக்கல் என்பதன் பொருள் நிறைத்தல்
பெறுக்கல் என்பதன் பொருள் மிகுத்தல்	பெருக்கல் என்பதன் பொருள் மிகுத்தல்
பெறுக்கல் என்பதன் பொருள் நிரப்புதல்	பெருக்கல் என்பதன் பொருள் நிரப்புதல்
பெறுக்கல் என்பதன் பொருள் அதிகப்படுத்தல்	பெருக்கல் என்பதன் பொருள் அதிகப்படுத்தல்
பெறுக்கல் என்பதன் பொருள் மிகுவித்தல்	பெருக்கல் என்பதன் பொருள் மிகுவித்தல்
பெருக்கல் என்பதன் பொருள் அரிசி	பெறுக்கல் என்பதன் பொருள் அரிசி
பெருக்கல் என்பதன் பொருள் மிகுத்தல்	பெறுக்கல் என்பதன் பொருள் மிகுத்தல்
பொறி என்பதன் பொருள் நெற்பொரி	பொரி என்பதன் பொருள் நெற்பொரி
பொறி என்பதன் பொருள் பொரிதல்	பொரி என்பதன் பொருள் பொரிதல்
பொரி என்பதன் பொருள் தீப்பொறி	பொறி என்பதன் பொருள் தீப்பொறி
பொரி என்பதன் பொருள் அறிவு	பொறி என்பதன் பொருள் அறிவு
பொரி என்பதன் பொருள் எழுந்து	பொறி என்பதன் பொருள் எழுந்து
பொரி என்பதன் பொருள் வரிவண்டு	பொறி என்பதன் பொருள் வரிவண்டு
பொறித்தல் என்பதன் பொருள் வறுத்தல்	பொரித்தல் என்பதன் பொருள் வறுத்தல்
பொறித்தல் என்பதன் பொருள் குஞ்சு பொரித்தல்	பொரித்தல் என்பதன் பொருள் குஞ்சு பொரித்தல்
பொரித்தல் என்பதன் பொருள் எழுதுதல்	பொறித்தல் என்பதன் பொருள் எழுதுதல்
